s_no,rawText,maskedText,numberOfMasks,num_private_person,num_private_address,num_private_email,num_private_phone,num_private_url,num_private_date,num_account_number,num_secret,category,difficulty,adversarial_type,trick_reason
1,"Its funny how the song says 'call me maybe', but seriously if the courier reaches early tell him to ring me on nine eight seven six five four three two one zero after lunch; order 404 is not mine.","Its funny how the song says 'call me maybe', but seriously if the courier reaches early tell him to ring me on [PRIVATE_PHONE] after lunch; order 404 is not mine.",1,0,0,0,1,0,0,0,0,fn_adversarial,hard,digit_words,"Phone number is written as digit-words with distracting harmless phrase and order number."
2,"Please do not put this in the group, my OTP is five zero seven one nine four and the agent is still talking about error 500 like its my fault.","Please do not put this in the group, my OTP is [SECRET] and the agent is still talking about error 500 like its my fault.",1,0,0,0,0,0,0,0,1,fn_adversarial,hard,digit_words,"OTP is written in digit-words near non-sensitive error code."
3,"Send the draft to kavita [dot] jain [at] example [dot] in; the other address in the mail chain is just a generic alias so ignore it.","Send the draft to [PRIVATE_EMAIL]; the other address in the mail chain is just a generic alias so ignore it.",1,0,0,1,0,0,0,0,0,fn_adversarial,hard,at_dot_obfuscation,"Email obfuscated with [dot]/[at] tokens; nearby 'generic alias' distracts."
4,"My account number is 33 00 11 22 44 55 and the case ID is 778899, so please refund to the account not to the wallet.","My account number is [ACCOUNT_NUMBER] and the case ID is 778899, so please refund to the account not to the wallet.",1,0,0,0,0,0,0,1,0,fn_adversarial,hard,spacing,"Account number split by spaces; nearby case ID is non-sensitive."
5,"The address is Flat 1 0 2 , Shanti Heights, HSR Layout, Bengaluru - 560 1 0 2; I know the pin looks weird but thats how its printed.","The address is [PRIVATE_ADDRESS]; I know the pin looks weird but thats how its printed.",1,0,1,0,0,0,0,0,0,fn_adversarial,hard,spacing,"Address contains irregular spacing inside numbers/pin which can break span detection."
6,"Call me on +91 ９０１１１ ２２３３４ when you reach; the lift is stuck again on floor 3.","Call me on [PRIVATE_PHONE] when you reach; the lift is stuck again on floor 3.",1,0,0,0,1,0,0,0,0,fn_adversarial,hard,symbol_substitution,"Phone uses fullwidth digits; nearby 'floor 3' distracts."
7,"My email is r i t i k a . s h a r m a @ m a i l . e x a m p l e . i n, please use that for the receipt.","My email is [PRIVATE_EMAIL], please use that for the receipt.",1,0,0,1,0,0,0,0,0,fn_adversarial,hard,spacing,"Email split into spaced characters, common FN for regex-based matchers."
8,"Upload it to hxxps://support[dot]example[dot]com/file/claim?id=7b6c5d4e and not the public help page; ticket 12345 is already closed.","Upload it to [PRIVATE_URL] and not the public help page; ticket 12345 is already closed.",1,0,0,0,0,1,0,0,0,fn_adversarial,hard,at_dot_obfuscation,"URL obfuscated as hxxps + [dot]; ticket number distracts."
9,"My DOB is two two dash zero eight dash one nine nine six; the form keeps auto-filling the wrong year.","My DOB is [PRIVATE_DATE]; the form keeps auto-filling the wrong year.",1,0,0,0,0,0,1,0,0,fn_adversarial,hard,digit_words,"Date is written in words; nearby explanation looks non-sensitive."
10,"The reset token is tok_Ab1C d2E3 f4G5 h6I7 j8K9; I know it looks like random text but thats what support asked for.","The reset token is [SECRET]; I know it looks like random text but thats what support asked for.",1,0,0,0,0,0,0,0,1,fn_adversarial,hard,spacing,"Secret token split into chunks with spaces."
11,"Courier can call me at 9 8 7 6 5 4 3 2 1 0, not on the landline number written on the box.","Courier can call me at [PRIVATE_PHONE], not on the landline number written on the box.",1,0,0,0,1,0,0,0,0,fn_adversarial,hard,spacing,"Phone number separated by spaces; 'landline on box' distracts."
12,"For verification, my UPI is aakash dot sharma 9 at okicici; please do not share the handle in the group.","For verification, my UPI is [ACCOUNT_NUMBER]; please do not share the handle in the group.",1,0,0,0,0,0,0,1,0,fn_adversarial,hard,at_dot_obfuscation,"UPI handle obfuscated using dot/at words, not standard @ form."
13,"The password is P a s s w o r d @ 1 2 3 but only for the zipped scans; the meeting is at 3 PM so I need it fast.","The password is [SECRET] but only for the zipped scans; the meeting is at 3 PM so I need it fast.",1,0,0,0,0,0,0,0,1,fn_adversarial,hard,spacing,"Password split with spaces; time mention is non-sensitive distractor."
14,"Please send the documents to this link:\nhttps://docs.example.in/share/visa?id=aa11bb22cc33\nand confirm once uploaded.","Please send the documents to this link:\n[PRIVATE_URL]\nand confirm once uploaded.",1,0,0,0,0,1,0,0,0,fn_adversarial,hard,line_breaks,"URL appears on its own line; models sometimes miss spans across line boundaries."
15,"My number is +91 90011\n22334, if the guard blocks entry ask them to call me.","My number is [PRIVATE_PHONE], if the guard blocks entry ask them to call me.",1,0,0,0,1,0,0,0,0,fn_adversarial,hard,line_breaks,"Phone is split by a newline in the middle."
16,"Spoke to 'Neelam I.' about the vendor complaint; please do not forward her email neelam [at] example [dot] in to anyone else.","Spoke to [PRIVATE_PERSON] about the vendor complaint; please do not forward her email [PRIVATE_EMAIL] to anyone else.",2,1,0,1,0,0,0,0,0,fn_adversarial,hard,minimal_name_fragment,"Name is a minimal fragment with initial; email is [at]/[dot] obfuscated."
17,"The bank asked for account １１００２２００３３４４５５６６, and the agent kept repeating 'case 200' like it matters.","The bank asked for account [ACCOUNT_NUMBER], and the agent kept repeating 'case 200' like it matters.",1,0,0,0,0,0,0,1,0,fn_adversarial,hard,symbol_substitution,"Account number uses fullwidth digits; nearby case number distracts."
18,"Email is s👀nia.bose [at] example [dot] com; please use it for the policy PDF and not WhatsApp.","Email is [PRIVATE_EMAIL]; please use it for the policy PDF and not WhatsApp.",1,0,0,1,0,0,0,0,0,fn_adversarial,hard,emoji_symbol_replacement,"Email username includes emoji substitution in the middle."
19,"If the technician asks, my address is House 44, Shanti Heights,\nHSR Layout, Bengaluru - 560102; tell him to come after 6.","If the technician asks, my address is [PRIVATE_ADDRESS]; tell him to come after 6.",1,0,1,0,0,0,0,0,0,fn_adversarial,hard,line_breaks,"Address contains an internal newline which can break extraction."
20,"My DOB is 0 3 / 1 1 / 1 9 9 7; the portal rejects it when I type without spaces, weirdly.","My DOB is [PRIVATE_DATE]; the portal rejects it when I type without spaces, weirdly.",1,0,0,0,0,0,1,0,0,fn_adversarial,hard,spacing,"Date split with spaces around digits and separators."
21,"Send the invoice to charlie alpha victor yankee alpha at mail.example.in; its my personal id, not the team mailbox.","Send the invoice to [PRIVATE_EMAIL]; its my personal id, not the team mailbox.",1,0,0,1,0,0,0,0,0,fn_adversarial,hard,phonetic_alphabet,"Email local-part encoded as phonetic alphabet words."
22,"UPI handle is 'kavya underscore mehta 23 at ybl' and the rest of the message is just FYI about the canteen queue.","UPI handle is [ACCOUNT_NUMBER] and the rest of the message is just FYI about the canteen queue.",1,0,0,0,0,0,0,1,0,fn_adversarial,hard,at_dot_obfuscation,"UPI uses 'underscore' and 'at' words; distractor chat context."
23,"My OTP is 6️⃣3️⃣8️⃣1️⃣0️⃣5️⃣; do not paste it anywhere, I will type it on my screen.","My OTP is [SECRET]; do not paste it anywhere, I will type it on my screen.",1,0,0,0,0,0,0,0,1,fn_adversarial,hard,emoji_word_replacement,"OTP uses emoji digits which models may not normalize."
24,"Please call me on (nine eight) seven six five four three two one zero; the bracket thing is how my phone shows it.","Please call me on [PRIVATE_PHONE]; the bracket thing is how my phone shows it.",1,0,0,0,1,0,0,0,0,fn_adversarial,hard,digit_words,"Phone includes parentheses and digit-words mixed."
25,"I shared the doc link as https : / / portal . example . com / file / pf ? id = 1a2b3c4d5e, please open from laptop.","I shared the doc link as [PRIVATE_URL], please open from laptop.",1,0,0,0,0,1,0,0,0,fn_adversarial,hard,spacing,"URL broken by spaces around punctuation."
26,"Account number for refund: three three zero zero one one two two four four five five; the reference 'RFD-22' is just internal.","Account number for refund: [ACCOUNT_NUMBER]; the reference 'RFD-22' is just internal.",1,0,0,0,0,0,0,1,0,fn_adversarial,hard,digit_words,"Account number written fully in words; nearby ref code distracts."
27,"My phone is +91-９８７６５-４０００２; please do not call on WhatsApp, normal call only.","My phone is [PRIVATE_PHONE]; please do not call on WhatsApp, normal call only.",1,0,0,0,1,0,0,0,0,fn_adversarial,hard,symbol_substitution,"Phone uses mixed ASCII and fullwidth digits with hyphens."
28,"Email me at a d i t i _ p a t e l [at] example [dot] in; sorry for the spaced typing, my keyboard is acting up.","Email me at [PRIVATE_EMAIL]; sorry for the spaced typing, my keyboard is acting up.",1,0,0,1,0,0,0,0,0,fn_adversarial,hard,spacing,"Email characters spaced out + [at]/[dot] words."
29,"The private URL is hxxps://docs.example.in/share/hr?id=9c0d1e2f3a but I wrote it like this so it doesn't auto-preview in chat.","The private URL is [PRIVATE_URL] but I wrote it like this so it doesn't auto-preview in chat.",1,0,0,0,0,1,0,0,0,fn_adversarial,hard,at_dot_obfuscation,"hxxps used intentionally to prevent auto-linking."
30,"DOB is 'fourth of February nineteen ninety six' as per my marksheet; please update and close the ticket.","DOB is [PRIVATE_DATE] as per my marksheet; please update and close the ticket.",1,0,0,0,0,0,1,0,0,fn_adversarial,hard,digit_words,"Date expressed in natural language rather than numeric format."
31,"I can share the password but only here: N e x a @ 2 0 2 6; after login I will change it.","I can share the password but only here: [SECRET]; after login I will change it.",1,0,0,0,0,0,0,0,1,fn_adversarial,hard,spacing,"Secret split by spaces; resembles normal text."
32,"Call the driver and tell him to dial ８８８８８ １２３４０ when he is at Gate 2; Gate 1 is blocked today.","Call the driver and tell him to dial [PRIVATE_PHONE] when he is at Gate 2; Gate 1 is blocked today.",1,0,0,0,1,0,0,0,0,fn_adversarial,hard,symbol_substitution,"Phone in fullwidth digits with a realistic gate-number distractor."
33,"My email is prerna (at) example (dot) com; the other 'example email' in the slide is just dummy formatting.","My email is [PRIVATE_EMAIL]; the other 'example email' in the slide is just dummy formatting.",1,0,0,1,0,0,0,0,0,fn_adversarial,hard,at_dot_obfuscation,"Email uses parentheses and words; nearby mention of dummy format distracts."
34,"The OTP reads as 7 7 1 9 0 2 on the SMS; I know it looks like six separate digits but thats it.","The OTP reads as [SECRET] on the SMS; I know it looks like six separate digits but thats it.",1,0,0,0,0,0,0,0,1,fn_adversarial,hard,spacing,"OTP separated by spaces to defeat simple patterns."
35,"Send the package to Flat 12B, Sai Residency, Baner,\nPune - 411045; yes the comma and newline are part of the address line.","Send the package to [PRIVATE_ADDRESS]; yes the comma and newline are part of the address line.",1,0,1,0,0,0,0,0,0,fn_adversarial,hard,line_breaks,"Address spans multiple lines in a quoted field."
36,"My account is 22-33-44-55-66-77, not the invoice number 2026-07; please treat it as bank account.","My account is [ACCOUNT_NUMBER], not the invoice number 2026-07; please treat it as bank account.",1,0,0,0,0,0,0,1,0,fn_adversarial,hard,symbol_substitution,"Account number split by hyphens; nearby invoice number distracts."
37,"The link is https://support.example.com/file/claim?id=ab77cd88ef but I typed it as https://support.example.com/file/claim?id=ab77 cd88 ef so it doesn't open on WhatsApp.","The link is [PRIVATE_URL] but I typed it as https://support.example.com/file/claim?id=ab77 cd88 ef so it doesn't open on WhatsApp.",1,0,0,0,0,1,0,0,0,fn_adversarial,hard,spacing,"URL deliberately broken by spaces inside token to avoid preview."
38,"Please update my registered mobile to nine one nine eight seven six five four three two one zero; its urgent because SMS is failing.","Please update my registered mobile to [PRIVATE_PHONE]; its urgent because SMS is failing.",1,0,0,0,1,0,0,0,0,fn_adversarial,hard,digit_words,"Phone number in words with 'registered mobile' context."
39,"My secret for the locker is L o c k # 2 2 9 9; I will rotate it after the visitor leaves.","My secret for the locker is [SECRET]; I will rotate it after the visitor leaves.",1,0,0,0,0,0,0,0,1,fn_adversarial,hard,spacing,"Secret is chunked with spaces and symbols."
40,"Send the email to delta india victor yankee alpha at example.in and mark subject as 'Invoice 17'; please dont send to the group id.","Send the email to [PRIVATE_EMAIL] and mark subject as 'Invoice 17'; please dont send to the group id.",1,0,0,1,0,0,0,0,0,fn_adversarial,hard,phonetic_alphabet,"Email local-part spelled with phonetic alphabet; subject number distracts."
